price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,age
221900,3,1,1180,5650,1,0,59
538000,3,2.25,2570,7242,2,0,23
180000,2,1,770,10000,1,0,82
604000,4,3,1960,5000,1,0,49
510000,3,2,1680,8080,1,0,28
1.23E+06,4,4.5,5420,101930,1,0,13
257500,3,2.25,1715,6819,2,0,19
291850,3,1.5,1060,9711,1,0,52
229500,3,1,1780,7470,1,0,55
323000,3,2.5,1890,6560,2,0,12
662500,3,2.5,3560,9796,1,0,50
468000,2,1,1160,6000,1,0,72
310000,3,1,1430,19901,1.5,0,87
400000,3,1.75,1370,9680,1,0,37
530000,5,2,1810,4850,1.5,0,115
650000,4,3,2950,5000,2,0,36
395000,3,2,1890,14040,2,0,20
485000,4,1,1600,4300,1.5,0,98
189000,2,1,1200,9850,1,0,93
230000,3,1,1250,9774,1,0,46
385000,4,1.75,1620,4980,1,0,67
2.00E+06,3,2.75,3050,44867,1,0,46
285000,5,2.5,2270,6300,2,0,19
252700,2,1.5,1070,9643,1,0,29
329000,3,2.25,2450,6500,2,0,29
233000,3,2,1710,4697,1.5,0,73
937000,3,1.75,2450,2691,2,0,99
667000,3,1,1400,1581,1.5,0,105
438000,3,1.75,1520,6380,1,0,66
719000,4,2.5,2570,7173,2,0,10
580500,3,2.5,2320,3980,2,0,11
280000,2,1.5,1190,1265,3,0,9
687500,4,1.75,2330,5000,1.5,0,85
535000,3,1,1090,3000,1.5,0,85
322500,4,2.75,2060,6659,1,0,33
696000,3,2.5,2300,3060,1.5,0,12
550000,4,1,1660,34848,1,0,81
640000,4,2,2360,6000,2,0,110
240000,4,1,1220,8075,1,0,46
605000,4,2.5,2620,7553,2,0,18
625000,4,2.5,2570,5520,2,0,14
775000,4,2.25,4220,24186,1,0,30
861990,5,2.75,3595,5639,2,0,0
685000,3,1,1570,2280,2,0,92
309000,3,1,1280,9656,1,0,55
488000,3,2.5,3160,13603,2,0,11
210490,3,1,990,8528,1,0,49
785000,4,2.5,2290,13416,2,0,33
450000,3,1.75,1250,5963,1,0,62
1.35E+06,3,2.5,2753,65005,1,1,62
228000,3,1,1190,9199,1,0,59
345000,5,2.5,3150,9134,1,0,49
600000,3,1.75,1410,4080,1,0,64
585000,2,1.75,1980,8550,1,0,34
920000,5,2.25,2730,6000,1.5,0,88
885000,4,2.5,2830,5000,2,0,19
292500,4,2.5,2250,4495,2,0,6
301000,3,2.5,2420,4750,2,0,12
951000,5,3.25,3250,14342,2,0,46
430000,4,3,1850,9976,2,0,24
650000,3,2.25,2150,21235,1,0,55
289000,3,1.75,1260,8400,1,0,60
505000,3,1.75,2519,8690,2,0,41
549000,3,1.75,1540,1044,3,0,0
425000,3,2.25,1660,6000,1,0,35
317625,3,2.75,2770,3809,1.5,0,89
975000,4,2.5,2720,11049,2,0,25
287000,4,2.5,2240,4648,2,0,9
204000,3,1,1000,12070,1,0,46
1.33E+06,5,2.25,3200,20158,1,0,49
1.04E+06,5,3.25,4770,50094,1,0,41
325000,3,2,1260,5612,1,0,43
571000,4,2,2750,7807,1.5,0,98
360000,4,2.5,2380,5000,2,0,9
349000,3,1.75,1790,50529,1,0,50
832500,4,4,3430,35102,2,0,28
380000,4,1.75,1760,7300,1,0,58
480000,3,1,1040,5060,1,0,74
410000,3,1,1410,5060,1,0,58
720000,4,2.5,3450,39683,2,0,13
390000,3,2.5,2350,5100,2,0,11
360000,4,2.5,1900,5889,2,0,22
355000,2,1,2020,6720,1,0,66
356000,3,1.5,1680,8712,1,0,51
315000,3,1,960,6634,1,0,62
940000,3,1.5,2140,3600,2,0,89
305000,5,2.25,2660,8400,1.5,0,53
461000,3,3.25,2770,6278,2,0,8
215000,2,2.25,1610,2040,2,0,35
335000,2,1.75,1030,1066,2,0,8
243500,4,2.5,1980,7403,2,0,26
1.10E+06,5,2.75,3520,6353,2,0,14
153000,3,1,1200,10500,1,0,53
430000,3,1.5,1580,5000,1,0,75
700000,3,1.5,1580,5000,1,0,75
905000,4,2.5,3300,10250,1,0,23
247500,3,1.75,1960,15681,1,0,48
199000,4,1.5,1160,6400,1,0,39
314000,3,1.75,1810,41800,1,0,34
437500,3,2.5,2320,36847,2,0,22
850830,3,2.5,2070,13241,1.5,0,104
555000,3,2,1980,3478,1.5,0,85
699950,3,2.25,2190,107593,2,0,31
1.09E+06,3,2.5,2920,8113,2,0,4
290000,3,1,1210,33919,1,0,60
375000,3,2.5,2340,10005,1,0,37
460000,3,1,1670,4005,1.5,0,75
188500,2,1.75,1240,2493,1,0,29
680000,4,2.5,3140,28037,2,0,24
470000,5,1.75,2030,12342,2,0,72
597750,4,2.5,2310,9624,2,0,30
570000,3,1.75,1260,3328,1,0,110
272500,3,1.75,1540,12600,1,0,34
329950,3,1.75,2080,5969,1,0,43
480000,4,2.5,3230,16171,2,0,13
740500,3,3.5,4380,6350,2,0,15
518500,3,3.5,1590,1102,3,0,4
205425,2,1,880,6780,1,0,69
171800,4,2,1570,9600,1,0,65
535000,4,1,1610,2982,1.5,0,90
660000,3,2.5,2400,6474,1,0,51
391500,3,2,1450,9132,1,0,27
395000,2,1,770,6000,1,0,62
445000,4,1.75,2100,4400,1.5,0,90
770000,3,2.25,2910,10204,2,0,24
1.45E+06,4,2.75,2750,17789,1.5,0,23
445000,3,2.25,2100,8201,1,0,47
260000,4,2.25,2160,8811,1,0,36
822500,5,3.5,2320,4960,2,0,88
430000,4,2.5,2070,4310,2,0,11
212000,3,1.75,1060,7875,1,0,29
660500,4,2.25,2010,9603,1,0,29
784000,3,3.5,3950,111078,1.5,0,25
453246,3,2.5,2010,2287,2,0,0
675000,4,3.5,2140,2278,3,0,10
199000,3,1.75,1320,17390,1,0,58
220000,4,1.75,2020,7840,1,0,46
452000,4,2.25,2590,10002,1,0,46
382500,2,1,1190,4440,1,0,33
519950,3,2.25,1170,1249,3,0,0
665000,2,1,1110,3200,1,0,89
527700,5,2.5,2820,9375,1,0,46
205000,3,1,1610,8579,1,0,53
420000,3,1,1060,8097,1,0,92
500000,4,2.25,2030,8517,1,0,54
