,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,age
0,20141013,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,47.5112,-122.257,59
1,20141209,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,47.721000000000004,-122.319,23
2,20150225,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,47.7379,-122.23299999999999,82
3,20141209,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,47.5208,-122.39299999999999,49
4,20150218,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,47.6168,-122.045,28
5,20140512,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,47.6561,-122.005,13
6,20140627,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,47.3097,-122.32700000000001,19
7,20150115,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,47.4095,-122.315,52
8,20150415,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,47.5123,-122.337,55
9,20150312,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,47.3684,-122.031,12
10,20150403,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,47.6007,-122.145,50
11,20140527,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,47.69,-122.292,72
12,20140528,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,47.7558,-122.229,87
13,20141007,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,47.6127,-122.045,37
14,20150312,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,47.67,-122.39399999999999,115
15,20150124,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,47.5714,-122.375,36
16,20140731,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,47.7277,-121.962,20
17,20140529,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,47.6648,-122.34299999999999,98
18,20141205,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,47.3089,-122.21,93
